concept_id_1	concept_id_2	relationship_id	valid_start_date	valid_end_date	invalid_reason	
2000000306	2000000305	Is a	1970-01-01	2099-12-31		
2000000307	2000000305	Is a	1970-01-01	2099-12-31		
2000000308	2000000305	Is a	1970-01-01	2099-12-31		
2000000309	2000000305	Is a	1970-01-01	2099-12-31		
2000000310	2000000305	Is a	1970-01-01	2099-12-31		
2000000311	2000000305	Is a	1970-01-01	2099-12-31		
2000000312	2000000305	Is a	1970-01-01	2099-12-31		
2000000313	2000000305	Is a	1970-01-01	2099-12-31		
2000000314	2000000305	Is a	1970-01-01	2099-12-31		
2000000315	2000000305	Is a	1970-01-01	2099-12-31		
2000000316	2000000305	Is a	2021-03-17	2099-12-31		
2000000305	2000000306	Subsumes	1970-01-01	2099-12-31		
2000000305	2000000307	Subsumes	1970-01-01	2099-12-31		
2000000305	2000000308	Subsumes	1970-01-01	2099-12-31		
2000000305	2000000309	Subsumes	1970-01-01	2099-12-31		
2000000305	2000000310	Subsumes	1970-01-01	2099-12-31		
2000000305	2000000311	Subsumes	1970-01-01	2099-12-31		
2000000305	2000000312	Subsumes	1970-01-01	2099-12-31		
2000000305	2000000313	Subsumes	1970-01-01	2099-12-31		
2000000305	2000000314	Subsumes	1970-01-01	2099-12-31		
2000000305	2000000315	Subsumes	1970-01-01	2099-12-31		
2000000305	2000000316	Subsumes	2021-03-17	2099-12-31		
2000000318	2000000317	Is a	1970-01-01	2099-12-31		
2000000319	2000000317	Is a	1970-01-01	2099-12-31		
2000000320	2000000317	Is a	1970-01-01	2099-12-31		
2000000321	2000000317	Is a	1970-01-01	2099-12-31		
2000000322	2000000317	Is a	1970-01-01	2099-12-31		
2000000323	2000000317	Is a	1970-01-01	2099-12-31		
2000000324	2000000317	Is a	1970-01-01	2099-12-31		
2000000325	2000000317	Is a	1970-01-01	2099-12-31		
2000000326	2000000317	Is a	1970-01-01	2099-12-31		
2000000327	2000000317	Is a	1970-01-01	2099-12-31		
2000000328	2000000317	Is a	1970-01-01	2099-12-31		
2000000329	2000000317	Is a	1970-01-01	2099-12-31		
2000000330	2000000317	Is a	1970-01-01	2099-12-31		
2000000331	2000000317	Is a	2022-04-01	2099-12-31		
2000000332	2000000317	Is a	2022-04-01	2099-12-31		
2000000333	2000000317	Is a	2022-04-01	2099-12-31		
2000000317	2000000318	Subsumes	1970-01-01	2099-12-31		
2000000317	2000000319	Subsumes	1970-01-01	2099-12-31		
2000000317	2000000320	Subsumes	1970-01-01	2099-12-31		
2000000317	2000000321	Subsumes	1970-01-01	2099-12-31		
2000000317	2000000322	Subsumes	1970-01-01	2099-12-31		
2000000317	2000000323	Subsumes	1970-01-01	2099-12-31		
2000000317	2000000324	Subsumes	1970-01-01	2099-12-31		
2000000317	2000000325	Subsumes	1970-01-01	2099-12-31		
2000000317	2000000326	Subsumes	1970-01-01	2099-12-31		
2000000317	2000000327	Subsumes	1970-01-01	2099-12-31		
